"id","total_count","plus_one","minus_one","laugh","hooray","confused","heart","rocket","eyes","comment_id"
"49994","0","0","0","0","0","0","0","0","0","349542640"
"49995","0","0","0","0","0","0","0","0","0","349566475"
"49996","0","0","0","0","0","0","0","0","0","349573266"
"49997","0","0","0","0","0","0","0","0","0","349593056"
"49998","0","0","0","0","0","0","0","0","0","349617837"
"49999","0","0","0","0","0","0","0","0","0","349631420"
"50000","0","0","0","0","0","0","0","0","0","349645357"
"50001","0","0","0","0","0","0","0","0","0","349646361"
"50002","0","0","0","0","0","0","0","0","0","349653751"
"50003","0","0","0","0","0","0","0","0","0","349663112"
"50004","0","0","0","0","0","0","0","0","0","349664186"
"50005","0","0","0","0","0","0","0","0","0","351773561"
"50006","0","0","0","0","0","0","0","0","0","351927225"
"50007","0","0","0","0","0","0","0","0","0","352931160"
"50008","0","0","0","0","0","0","0","0","0","352975955"
"50009","0","0","0","0","0","0","0","0","0","353076374"
"50010","0","0","0","0","0","0","0","0","0","353135027"
"50011","0","0","0","0","0","0","0","0","0","353174617"
"50012","0","0","0","0","0","0","0","0","0","353196229"
"50013","0","0","0","0","0","0","0","0","0","355961175"
"50014","0","0","0","0","0","0","0","0","0","356279944"
"50015","0","0","0","0","0","0","0","0","0","356348574"
"50016","0","0","0","0","0","0","0","0","0","356366448"
"50017","3","2","1","0","0","0","0","0","0","356368072"
"50018","0","0","0","0","0","0","0","0","0","356652936"
"50019","0","0","0","0","0","0","0","0","0","357424350"
"50020","0","0","0","0","0","0","0","0","0","357434408"
"50021","0","0","0","0","0","0","0","0","0","357435004"
"50022","1","1","0","0","0","0","0","0","0","357435829"
"50023","2","2","0","0","0","0","0","0","0","357443946"
"50024","1","1","0","0","0","0","0","0","0","357452129"
"50025","2","2","0","0","0","0","0","0","0","358410963"
"50026","1","1","0","0","0","0","0","0","0","358603535"
"50027","0","0","0","0","0","0","0","0","0","358702563"
"50028","1","1","0","0","0","0","0","0","0","358709791"
"50029","0","0","0","0","0","0","0","0","0","359290870"
"50030","0","0","0","0","0","0","0","0","0","360476886"
"50031","0","0","0","0","0","0","0","0","0","361876870"
"50032","0","0","0","0","0","0","0","0","0","362136499"
"50033","0","0","0","0","0","0","0","0","0","362891477"
"50034","10","0","10","0","0","0","0","0","0","362892698"
"50035","0","0","0","0","0","0","0","0","0","363594237"
"50036","3","3","0","0","0","0","0","0","0","366473778"
"50037","7","0","0","6","0","0","1","0","0","368638832"
"50038","0","0","0","0","0","0","0","0","0","370683371"
"50039","61","33","1","0","0","0","27","0","0","370732526"
"50040","0","0","0","0","0","0","0","0","0","370742914"
"50041","2","2","0","0","0","0","0","0","0","371170549"
"50042","0","0","0","0","0","0","0","0","0","372024308"
"50043","0","0","0","0","0","0","0","0","0","379487759"
"50044","0","0","0","0","0","0","0","0","0","379824513"
"50045","0","0","0","0","0","0","0","0","0","381372707"
"50046","0","0","0","0","0","0","0","0","0","381372839"
"50047","0","0","0","0","0","0","0","0","0","381372895"
"50048","0","0","0","0","0","0","0","0","0","381373400"
"50049","0","0","0","0","0","0","0","0","0","381373433"
"50050","0","0","0","0","0","0","0","0","0","381373447"
"50051","0","0","0","0","0","0","0","0","0","381373692"
"50052","0","0","0","0","0","0","0","0","0","381373983"
"50053","1","0","0","0","1","0","0","0","0","381374314"
"50054","1","1","0","0","0","0","0","0","0","381374587"
"50055","1","1","0","0","0","0","0","0","0","381374743"
"50056","0","0","0","0","0","0","0","0","0","382941317"
"50057","1","0","0","0","0","1","0","0","0","383141189"
"50058","1","0","0","0","1","0","0","0","0","383262974"
"50059","0","0","0","0","0","0","0","0","0","388646010"
"50060","0","0","0","0","0","0","0","0","0","390032467"
"50061","0","0","0","0","0","0","0","0","0","390621191"
"50062","0","0","0","0","0","0","0","0","0","391954225"
"50063","0","0","0","0","0","0","0","0","0","392151612"
"50064","0","0","0","0","0","0","0","0","0","395389984"
"50065","0","0","0","0","0","0","0","0","0","395596184"
"50066","0","0","0","0","0","0","0","0","0","397907461"
"50067","11","11","0","0","0","0","0","0","0","426918953"
"50068","0","0","0","0","0","0","0","0","0","427093865"
"50069","0","0","0","0","0","0","0","0","0","428784606"
"50070","4","4","0","0","0","0","0","0","0","431713098"
"50071","0","0","0","0","0","0","0","0","0","578571474"
"50072","0","0","0","0","0","0","0","0","0","324158896"
"50073","0","0","0","0","0","0","0","0","0","324454568"
"50074","0","0","0","0","0","0","0","0","0","324695467"
"50075","0","0","0","0","0","0","0","0","0","325033613"
"50076","0","0","0","0","0","0","0","0","0","326382611"
"50077","0","0","0","0","0","0","0","0","0","326509068"
"50078","0","0","0","0","0","0","0","0","0","326509402"
"50079","0","0","0","0","0","0","0","0","0","326512234"
"50080","0","0","0","0","0","0","0","0","0","326985350"
"50081","0","0","0","0","0","0","0","0","0","327113776"
"50082","2","2","0","0","0","0","0","0","0","323276329"
"50083","0","0","0","0","0","0","0","0","0","323279220"
"50084","0","0","0","0","0","0","0","0","0","323293361"
"50085","0","0","0","0","0","0","0","0","0","349564914"
"50086","0","0","0","0","0","0","0","0","0","349565019"
"50087","0","0","0","0","0","0","0","0","0","349928948"
"50088","0","0","0","0","0","0","0","0","0","349932102"
"50089","0","0","0","0","0","0","0","0","0","350146948"
"50090","0","0","0","0","0","0","0","0","0","350149333"
"50091","0","0","0","0","0","0","0","0","0","350149506"
"50092","0","0","0","0","0","0","0","0","0","350149764"
"50093","0","0","0","0","0","0","0","0","0","350155482"
"50094","0","0","0","0","0","0","0","0","0","364392868"
"50095","0","0","0","0","0","0","0","0","0","364393114"
"50096","0","0","0","0","0","0","0","0","0","412501274"
"50097","0","0","0","0","0","0","0","0","0","327978992"
"50098","0","0","0","0","0","0","0","0","0","327979020"
"50099","0","0","0","0","0","0","0","0","0","323646959"
"50100","0","0","0","0","0","0","0","0","0","323706995"
"50101","0","0","0","0","0","0","0","0","0","323710191"
"50102","0","0","0","0","0","0","0","0","0","323860591"
"50103","0","0","0","0","0","0","0","0","0","323913172"
"50104","0","0","0","0","0","0","0","0","0","324037690"
"50105","0","0","0","0","0","0","0","0","0","324525745"
"50106","2","2","0","0","0","0","0","0","0","325258626"
"50107","0","0","0","0","0","0","0","0","0","325422942"
"50108","0","0","0","0","0","0","0","0","0","325527021"
"50109","0","0","0","0","0","0","0","0","0","331636131"
"50110","0","0","0","0","0","0","0","0","0","323326312"
"50111","0","0","0","0","0","0","0","0","0","414120835"
"50112","1","1","0","0","0","0","0","0","0","323323892"
"50113","0","0","0","0","0","0","0","0","0","323267456"
"50114","0","0","0","0","0","0","0","0","0","325171805"
"50115","0","0","0","0","0","0","0","0","0","416423722"
"50116","0","0","0","0","0","0","0","0","0","323591399"
"50117","0","0","0","0","0","0","0","0","0","323592472"
"50118","0","0","0","0","0","0","0","0","0","323720796"
"50119","0","0","0","0","0","0","0","0","0","323721014"
"50120","0","0","0","0","0","0","0","0","0","323736379"
"50121","0","0","0","0","0","0","0","0","0","323736588"
"50122","0","0","0","0","0","0","0","0","0","323737496"
"50123","0","0","0","0","0","0","0","0","0","326242464"
"50124","0","0","0","0","0","0","0","0","0","397397179"
"50125","1","1","0","0","0","0","0","0","0","411848215"
"50126","0","0","0","0","0","0","0","0","0","413098571"
"50127","0","0","0","0","0","0","0","0","0","322973574"
"50128","0","0","0","0","0","0","0","0","0","323233706"
"50129","0","0","0","0","0","0","0","0","0","323646995"
"50130","0","0","0","0","0","0","0","0","0","331636111"
"50131","0","0","0","0","0","0","0","0","0","487919842"
"50132","0","0","0","0","0","0","0","0","0","414004061"
"50133","0","0","0","0","0","0","0","0","0","347032811"
"50134","1","0","1","0","0","0","0","0","0","347035571"
"50135","0","0","0","0","0","0","0","0","0","347035758"
"50136","0","0","0","0","0","0","0","0","0","442220382"
"50137","0","0","0","0","0","0","0","0","0","444014053"
"50138","0","0","0","0","0","0","0","0","0","322101427"
"50139","0","0","0","0","0","0","0","0","0","323718445"
"50140","0","0","0","0","0","0","0","0","0","324125709"
"50141","0","0","0","0","0","0","0","0","0","323729495"
"50142","0","0","0","0","0","0","0","0","0","323729918"
"50143","0","0","0","0","0","0","0","0","0","323311524"
"50144","0","0","0","0","0","0","0","0","0","323720900"
"50145","0","0","0","0","0","0","0","0","0","322904069"
"50146","0","0","0","0","0","0","0","0","0","329915072"
"50147","0","0","0","0","0","0","0","0","0","330356120"
"50148","0","0","0","0","0","0","0","0","0","331403878"
"50149","0","0","0","0","0","0","0","0","0","322741062"
"50150","0","0","0","0","0","0","0","0","0","322741284"
"50151","0","0","0","0","0","0","0","0","0","328370065"
"50152","0","0","0","0","0","0","0","0","0","413692083"
"50153","0","0","0","0","0","0","0","0","0","322328073"
"50154","0","0","0","0","0","0","0","0","0","322328264"
"50155","0","0","0","0","0","0","0","0","0","407395885"
"50156","0","0","0","0","0","0","0","0","0","322076392"
"50157","0","0","0","0","0","0","0","0","0","322133892"
"50158","0","0","0","0","0","0","0","0","0","322207316"
"50159","0","0","0","0","0","0","0","0","0","334571499"
"50160","0","0","0","0","0","0","0","0","0","338994252"
"50161","0","0","0","0","0","0","0","0","0","339018730"
"50162","0","0","0","0","0","0","0","0","0","339021907"
"50163","0","0","0","0","0","0","0","0","0","322152894"
"50164","0","0","0","0","0","0","0","0","0","322161133"
"50165","0","0","0","0","0","0","0","0","0","322162632"
"50166","0","0","0","0","0","0","0","0","0","322496504"
"50167","0","0","0","0","0","0","0","0","0","327931447"
"50168","0","0","0","0","0","0","0","0","0","327991484"
"50169","0","0","0","0","0","0","0","0","0","328025283"
"50170","0","0","0","0","0","0","0","0","0","327933733"
"50171","0","0","0","0","0","0","0","0","0","322500050"
"50172","0","0","0","0","0","0","0","0","0","328370086"
"50173","0","0","0","0","0","0","0","0","0","330104017"
